Survived,Pclass,Age,SibSp,Parch,Fare,CabinKnown,Sex_male,Embarked_Q,Embarked_S
0,0.7620734962887138,-0.4498108760258209,0.49051147158797265,0.0,-0.8623429724238953,0,1,0,1
1,-1.5827680307534828,0.7216192792397961,0.49051147158797265,0.0,2.195375986047352,1,0,0,0
1,0.7620734962887138,-0.1569533372094167,-0.7357672073819589,0.0,-0.8258852461037792,0,0,0,1
1,-1.5827680307534828,0.5019761251274929,0.49051147158797265,0.0,1.6140818450239829,1,0,0,1
0,0.7620734962887138,0.5019761251274929,-0.7357672073819589,0.0,-0.8191338153037578,0,1,0,1
0,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.7970809417385677,0,1,1,0
0,-1.5827680307534828,1.893049434505413,-0.7357672073819589,0.0,1.54724268010377,1,1,0,1
0,0.7620734962887138,-1.9140985701078421,2.3299294900428698,0.0,-0.11563472594151991,0,1,0,1
1,0.7620734962887138,-0.08373895250531564,-0.7357672073819589,0.0,-0.6526003226181081,0,0,0,1
1,-0.4103472672323845,-1.0355259536586294,0.49051147158797265,0.0,0.3702414435851457,0,0,0,0
1,0.7620734962887138,-1.76766980069964,0.49051147158797265,0.0,-0.3519348039422716,1,0,0,1
1,-1.5827680307534828,2.176755175233805,-0.7357672073819589,0.0,0.1800779430994209,1,0,0,1
0,0.7620734962887138,-0.5962396454340231,-0.7357672073819589,0.0,-0.8191338153037578,0,1,0,1
0,0.7620734962887138,0.7948336639438971,0.49051147158797265,0.0,0.43528202734023264,0,1,0,1
0,0.7620734962887138,-1.0355259536586294,-0.7357672073819589,0.0,-0.8297092565089116,0,0,0,1
1,-0.4103472672323845,1.966263819209514,-0.7357672073819589,0.0,-0.38974281642239184,0,0,0,1
0,0.7620734962887138,-1.9140985701078421,2.3299294900428698,0.0,0.31915741757986327,0,1,1,0
1,-0.4103472672323845,-0.01052456780121458,-0.7357672073819589,0.0,-0.5517771556229073,0,1,0,1
0,0.7620734962887138,0.2091185863110886,0.49051147158797265,0.0,-0.28171992362204823,0,0,0,1
1,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.8636932585838996,0,0,0,0
0,-0.4103472672323845,0.5019761251274929,-0.7357672073819589,0.0,0.15037164757932636,0,1,0,1
1,-0.4103472672323845,0.42876174042339177,-0.7357672073819589,0.0,-0.5517771556229073,1,1,0,1
1,0.7620734962887138,-0.9623115689545284,-0.7357672073819589,0.0,-0.8202572533888814,0,0,1,0
1,-1.5827680307534828,-0.01052456780121458,-0.7357672073819589,0.0,0.6634803883809587,1,1,0,1
0,0.7620734962887138,-1.4748122618832358,2.3299294900428698,0.0,-0.11563472594151991,0,0,0,1
1,0.7620734962887138,0.7216192792397961,0.49051147158797265,0.0,0.441358315060252,0,0,0,1
0,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.8636932585838996,0,1,0,0
0,-1.5827680307534828,-0.6694540301381241,2.3299294900428698,0.0,2.195375986047352,1,1,0,1
1,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.8283589703489072,0,0,1,0
0,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.8274623803386643,0,1,0,1
0,-1.5827680307534828,0.8680480486479981,-0.7357672073819589,0.0,0.24331454454474205,0,1,0,0
1,-1.5827680307534828,-0.01052456780121458,0.49051147158797265,0.0,2.195375986047352,1,0,0,0
1,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.8353372492238094,0,0,1,0
0,-0.4103472672323845,2.176755175233805,-0.7357672073819589,0.0,-0.6868057716233369,0,1,0,1
0,-1.5827680307534828,-0.01052456780121458,0.49051147158797265,0.0,2.195375986047352,0,1,0,0
0,-1.5827680307534828,1.0144768180562003,0.49051147158797265,0.0,1.5546692539837936,0,1,0,1
1,0.7620734962887138,-0.01052456780121458,-0.7357672073819589,0.0,-0.863466410509019,0,1,0,0
0,0.7620734962887138,-0.5230252607299221,-0.7357672073819589,0.0,-0.8191338153037578,0,1,0,1
0,0.7620734962887138,-0.7426684148422252,1.716790150557904,0.0,-0.28171992362204823,0,0,0,1
1,0.7620734962887138,-1.0355259536586294,0.49051147158797265,0.0,-0.6467454818283295,0,0,0,0
